id,subject,body,hash_tags,author,date,location
post_17592215569297,Do you need a clean house?,"I can help u. 🥳£14 per hour normal cleaning. My team and I have schedules this week. (we are not an agency) 
If you are looking for a good service, send me a message",,I. L.,2023-02-28T09:19:57.962Z,stjamess
post_17592215955635,Your local window cleaners,"Call Ian - 07917336701
Email    - info@west1windowcleaning.com",,I. P.,2023-03-13T15:42:40.680Z,stjamess
post_17592215800014,,9ine W. just joined St James's.,,9. W.,2023-03-08T10:21:41.796Z,stjamess
post_17592215751622,Your local window cleaning service,"Commercial and Residential 
Call - Ian - 07917336701
Email - info@west1windowcleaning.com",,I. P.,2023-03-06T17:08:46.004Z,stjamess
post_17592215602598,looking for houses for cleaning,,,S. F.,2023-03-01T11:31:36.444Z,stjamess
post_17592215579300,Have your windows cleaned by your local window cleaning company,"Ian - 07917336701
email- info@west1windowcleaning.com",,I. P.,2023-02-28T15:11:44.737Z,stjamess
post_17592215352513,Residential and Commercial Window Cleaning,"Reliable Professional Service 
Central London Based
Call - 07917336701
Email- info@west1windowcleaning.com
www.west1windowcleaning.com",,I. P.,2023-02-20T11:22:47.110Z,stjamess
post_17592214742235,,Maria M. just joined St James's.,,M. M.,2023-01-28T10:11:48.717Z,stjamess
post_17592214722287,,Timi A. just joined St James's.,,T. A.,2023-01-27T13:38:45.323Z,stjamess
post_17592214690542,,Asia Y. just joined St James's.,,A. Y.,2023-01-26T10:47:12.866Z,stjamess
post_17592214662289,,Stella S. just joined St James's.,,S. S.,2023-01-25T10:54:50.492Z,stjamess
post_17592214603483,,Abigail J. just joined St James's.,,A. J.,2023-01-23T11:41:05.048Z,stjamess
post_17592214572718,,Dóra P. just joined St James's.,,D. P.,2023-01-22T10:32:07.844Z,stjamess
post_17592214557064,,Attila A. just joined St James's.,,A. A.,2023-01-21T16:17:41.436Z,stjamess
post_17592214529865,,Charlie M. just joined St James's.,,C. M.,2023-01-20T17:34:39.032Z,stjamess
post_17592214526421,,Sumant A. just joined St James's.,,S. A.,2023-01-20T15:48:45.091Z,stjamess
post_17592214446512,https://facebook.com/events/s/stonegate-recruitment/613503560251002/,,,A. T.,2023-01-18T09:28:34.490Z,stjamess
post_17592214254218,"Hi, I am looking for some suggestions of child friendly restaurants that aren’t too dear.",My friends are coming up and have asked me to suggest somewhere. As my children have all grown up I haven’t got a clue lol. Thanks.,,D. F.,2023-01-12T17:42:55.194Z,stjamess
post_17592214218721,"Hello, my name is Rafaela and I live in westerminister near the backer street station.","I work as a Cleaning , Personal Organizer and Pet Caregiver.
 I am honest, fast, punctual and very organized.
  I do my work with excellence, quality and I have a lot of attention to small details.
 I am available for immediate start.
 I do 👇🏻
 ✔️Regular cleaning.
 ✔️Cleaning houses, flats and private apartments.
 ✔️ Deep cleaning.
 ✔️Office Cleaning.
 ✔️End of lease.
 ✔️ Hotel and Airbnb cleaning.
 ✔️ Cleaning after works.
 I do regular cleaning (monthly, fortnightly and weekly).
  I speak Portuguese (Brazil) I speak intermediate English.  I have references! 
Contact 7732056396 📞📲.
https://wa.me/message/NFKLA72DVHI5J1",,R. R.,2023-01-11T20:06:54.105Z,stjamess
post_17592214202113,,Kojo O. just joined St James's.,,K. O.,2023-01-11T14:30:36.704Z,stjamess
post_17592213979350,"Hello, my name is Rafaela, I'm a cleaning and Personal Organizer , I'm fast, detail-oriented and I have experience.","I do my work with excellence, quality and with great attention to small details.
 I do 👇🏻

 ✔️Regular cleaning.
 ✔️Cleaning houses, flats and private apartments.
 ✔️ Deep cleaning.
 ✔️ Office cleaning.
 ✔️End of lease.
  ✔️ Post work cleaning.
  ✔️ Hotel Cleaning and Airbnb. 
 📍I am located in Backer Street Westerminister.
Contact 📞📲
https://wa.me/message/NFKLA72DVHI5J1",,R. R.,2023-01-02T19:47:21.419Z,stjamess
post_17592213979265,"Hello, my name is Rafaela, I'm a cleaning and Personal Organizer , I'm fast, detail-oriented and I have experience.","I do 👇🏻
 ✔️Regular cleaning.
 ✔️Cleaning houses, flats and private apartments.
 ✔️ Deep cleaning.
 ✔️ Office cleaning.
 ✔️End of lease.
  ✔️ Post work cleaning.
  ✔️ Hotel Cleaning and Airbnb. 
 📍I am located in Backer Street Westerminister.
Contato 📞 07392756211
https://wa.me/message/NFKLA72DVHI5J1",,R. R.,2023-01-02T19:43:36.720Z,stjamess
post_17592213676857,,JP L. just joined St James's.,,J. L.,2022-12-16T10:55:46.653Z,stjamess
post_17592213374714,07392756211 Adriana e Rafaela.,,,R. R.,2022-11-29T22:21:30.678Z,stjamess
post_17592213260623,"I am 27 years old, I have experience with cleaning in general.","I am honest and very punctual, I also like to organize and decorate environments.  I was very interested in the position.  I am available to work any day of the week.",,R. R.,2022-11-23T20:41:09.806Z,stjamess
post_17592213263863,,Rafaela R. just joined St James's.,,R. R.,2022-11-24T01:25:29.597Z,stjamess
post_17592213261105,,Rafaela R. just joined St James's.,,R. R.,2022-11-23T21:08:02.882Z,stjamess
post_17592213177745,"We have sorted out a lot of our sons clothes who has now moved out, adult small and medium size and trainers.",We would like to donate them to the homeless but can’t seem to find where the nearest drop off is. We live near Victoria station and have a car. Could anyone help to locate a place please. Thanks.,,D. F.,2022-11-19T17:02:52.320Z,stjamess
post_17592212923058,"Hello All,","I am your neighbourhood luxury interior designer and can help you with residential and commercial both property projects.

Feel free to reach me on info@amitdixitdesign.com and you can also view some of my projects on www.amitdixitdesign.com to learn more about my company and services.

Sincerely, 
Amit Dixit
Founder & Director 
ADD | London 
www.amitdixitdesign.com",,A. D.,2022-11-06T15:57:18.321Z,stjamess
post_17592212834625,Are you looking for cleaner this weekend?,£14 an hour and I'm available for regular cleaning. Message me and schedule,,I. L.,2022-11-02T10:31:18.605Z,stjamess
post_17592212521063,Hello everybody!,"Shall we start the week with our clean houses?  £13 per hour normal cleaning. My team and I have schedules this week.  (we are not an agency) If you are looking for a good service, send me a message",,I. L.,2022-10-18T11:09:24.524Z,stjamess
post_17592212317800,Anyone needing a cleaner for today?,"I’m available 13£ per hour 
:)",,I. L.,2022-10-08T07:40:00.808Z,stjamess
post_17592212026020,Hi Neighbours!,"Our company just moved in to the new office at Waterloo Place. We would need someone to clean the internal windows as we want the space to be nice and fresh! 

18 windows total. Equipment to clean provided by us.

£50 for the job. Early morning or late evening. Preferably outside of our office hours 9am-6pm.",,K. W.,2022-09-22T15:19:51.806Z,stjamess
post_17592212026467,,Karolina W. just joined St James's.,,K. W.,2022-09-22T15:45:44.559Z,stjamess
post_17592211936452,,Adam C. just joined St James's.,,A. C.,2022-09-17T09:26:06.043Z,stjamess
post_17592211643416,"We are luxury interior design studio ""Amit Dixit Design | London "" based in Mayfair & St James's, providing high end design services for puxury residential, hospitality, retail, wellness and F&B sectors projects.",Please get in touch with us on info@amitdixitdesign.com or visit www.amitdixitdesign.com to learn more about about work and services.,,A. D.,2022-08-31T13:37:29.084Z,stjamess
post_17592211535670,"Hey guys, am looking for a profession, loyal and honest cleaner for my apartment once a week!","A few hours, to clean kitchen, bathroom, living room and hallway! Please email me aarontutton91@outlook.com if you are interested. Thank you",,A. T.,2022-08-25T12:37:25.968Z,stjamess
post_17592211235836,I have a team of cleaners (Me and two other people).,I'm the manager.  So you and I sort it out while I ship the cleaner to your house.  Our service is with excellence and respect. I guarantee a great job.,,I. L.,2022-08-08T15:36:21.054Z,stjamess
post_17592211147888,,Barry F. just joined St James's.,,B. F.,2022-08-03T10:46:27.143Z,stjamess
post_17592211076014,,Musfiak C. just joined Manor Park East.,,M. C.,2022-07-30T08:09:09.707Z,stjamess
post_17592210956926,,Amit D. just joined St James's.,,A. D.,2022-07-23T11:05:12.727Z,stjamess
post_17592210955723,Love my city,,,I. L.,2022-07-23T09:59:13.817Z,stjamess
post_17592210945637,,JAMES W. just joined St James's.,,J. W.,2022-07-22T16:41:50.066Z,stjamess
post_17592210922623,,Nikki M. just joined St James's.,,N. M.,2022-07-21T13:59:49.974Z,stjamess
post_17592210723571,My son,,,R. P.,2022-07-12T01:32:28.637Z,stjamess
post_17592210452934,For all your window cleaning needs,"Local company 
Call - 07917336701
info@west1windowcleaning.com",,I. P.,2022-06-28T19:34:13.740Z,stjamess
post_17592210283283,,Mr.D. K. just joined St James's.,,M. K.,2022-06-20T17:36:34.027Z,stjamess
post_17592209684371,,Reinout G. just joined St James's.,,R. G.,2022-05-24T18:24:38.634Z,stjamess
post_17592208597462,Looking for an Assistant Manager.,"If you think you have what it takes DM me.

As an Assistant Manager, you’ll work with the General manager to lead, motivate and inspire the
team to deliver delicious food & drink and a great customer experience every time. You will be
responsible for key areas of the business specifically the bar, cellar and merchandising. You will be
accountable for all aspects of the business when deputising for the General Manager or holding
your or another business on a longer term basis. You will duty manage your business during key
shifts and have responsibility for its day to day running demonstrating amazing people skills,
customer focus, delivering results, meeting targets to maintaining standards.
You need to be passionate, focused, hands-on and a role model who amazes customers whilst
engaging and motivating teams.
As an Assistant Manager you need to have great communication skills with all team members and
customers, the ability to juggle and prioritise tasks, a great eye for detail, confidence in making
decisions, a passion for training and motivating the team.
As an Assistant Manager you will role model the Winning Ways, celebrating success, having fun,
creating a great place to work and working hard with your team to get things done.",,A. T.,2022-04-13T15:30:40.743Z,stjamess
post_17592208572925,Looking for bar staff and management team dm me for more info guys,,,A. T.,2022-04-12T19:26:13.080Z,stjamess
post_17592208571777,Karaoke Every Sunday!,"Three crowns pub in piccadilly!
Hosted by the very funny Proud Mary",,A. T.,2022-04-12T18:46:36.365Z,stjamess
post_17592208087754,"Hello everyone,","Can anyone recommend a qualified and registered electrician for a job in St James SW1? 

Many thanks,

Laila",,L. G.,2022-03-28T15:27:52.032Z,stjamess
post_17592203940158,Handyman here,"Hi handyman here, part time university student. Experienced in many fields of work. Give me a message if you need help with anything mostly small - medium sized jobs. 

Thank you for reading 😊",,B. K.,2021-10-19T23:10:05.397Z,stjamess
post_17592205427286,Loud noise 4am,Does anyone know the source of the loud noise and shouting at 4am near St James?,,D. R.,2021-12-13T04:00:49.846Z,stjamess
post_17592203739372,Handyman here,"Hi 
Handyman here names Bilal, currently a uni student and part one handyman, excellent at DIY jobs ideally small (gardening, cleaning, furniture assembling etc)",,B. K.,2021-10-10T22:53:32.045Z,stjamess
post_17592203738255,VETS ON THE COMMON,"There ‘s a new vets opening in clapham
 https://www.vetsonthecommon.com/
Top the the range equipment, luxury cages with individual lights and heating. If your looking for somewhere to take your babies this is the place.",,D. F.,2021-10-10T21:06:59.723Z,stjamess
post_17592203371210,"I need a cake made, any suggestions please?",Hi I am looking to get a cake made for my mother in laws 80th birthday. I would need it by October 8th latest. Nothing too dear though. Any suggestions? TIA.,,D. F.,2021-09-26T09:37:37.701Z,stjamess
post_17592203029854,Hi all!,we are currently looking for team players at The Golden Lion is St James 😀 if anyone is interested drop an email to 5760@greeneking.co.uk thanks,,L. T.,2021-09-10T13:17:16.980Z,stjamess
post_17592203029836,Hi all!,we are currently looking for team players at The Golden Lion is St James 😀 if anyone is interested drop an email to 5760@greeneking.co.uk thank you,,L. T.,2021-09-10T13:16:39.205Z,stjamess
post_17592203029813,Hi all!,we are currently looking for team players at The Golden Lion is St James 😀 if anyone is interested drop an email to 5760@greeneking.co.uk thank you,,L. T.,2021-09-10T13:15:55.283Z,stjamess
post_17592203029782,Hi all!,we are currently looking for team players at The Golden Lion is St James 😀 if anyone is interested drop an email to 5760@greeneking.co.uk thank you,,L. T.,2021-09-10T13:14:43.318Z,stjamess
post_17592203029771,Hi all!,we are currently looking for team players at The Golden Lion is St James 😀 if anyone is interested drop an email to 5760@greeneking.co.uk thank you 😀,,L. T.,2021-09-10T13:14:20.046Z,stjamess
post_17592202920688,Another garden,"We had loads of gardens this year, strange. I will see if I can load them all.",,G. B.,2021-09-05T12:56:30.432Z,stjamess
post_17592202880779,New Flooring,Thanks to our client who has been amazing !!,,G. B.,2021-09-03T09:04:07.065Z,stjamess
post_17592202888241,Positions Available,"Looking for a painter/decorator and handyman please email me your CV and your daily rate.
info@ctvpropertysolutions.co.uk",,G. B.,2021-09-03T15:28:55.223Z,stjamess
post_17592202818061,Check out my new group: Formula 1 fans,Everyone who is interested is welcome to join. Here's the link: https://nextdoor.co.uk/g/z6xw8sm8s,,G. B.,2021-08-31T09:46:29.566Z,stjamess
post_17592202814060,"Check out my new group: 🤘🏻Rock, Metal, Grunge🤘🏻",Everyone who is interested is welcome to join. Here's the link: https://nextdoor.co.uk/g/2duqpdu4q,,G. B.,2021-08-31T06:02:28.960Z,stjamess
post_17592202208941,"Hi, Does anyone know whether charity shops are accepting items at the moment?","Or any charities or schools? We are moving so having a clear out. There are books, clothes, unwanted gifts in original packaging. All good condition! 
Thanks in advance 
Jo",,J. M.,2021-08-02T14:39:59.330Z,stjamess
post_17592197115574,Supercar noise,Is anyone else still suffering from this?  Last week 4 police vans turned up to Waterloo Place within 10 minutes of complaining to stop a gathering of over 100 cars.  Astonishingly the drivers are back again this weekend with a huge crowd of observers and people filming them. The engine revving and popping is so bad tonight there is clouds of smoke and toxic emissions coming 100s of yards down Pall Mall.,,A. M.,2020-12-05T23:08:22.217Z,stjamess
post_17592200875645,Private IT Support,"I am looking for an IT specialist who takes on private clients on an ad hoc basis. Assistance is required among others with the following tasks:
- email migration & consolidation
- establish a continuous email back up system
If anybody has any contacts, please let me know. Thank you",,C. W.,2021-06-08T11:00:48.832Z,stjamess
post_17592201192162,New Opportunities,"Hello Neighbours, 

My name is Olalla and I am a Consultant with Urban Retreat by Acti-Labs. 

You may not of heard of us but believe me it won't be long until we are a house hold Luxury Brand that everyone is talking about. Our products are created and made in our own Laboratories in Paris, France and we have busineses in the USA and Canada also.

We retail cosmeceuticals, body products, make up, health and wellbeing products as well as the Launch of our brand new  Flagship Luxury Spa in Knightsbridge, London in June 2021. 

Our products have gone through vigorous clincal trials and are proven and endorsed by doctors and top specialist professionals in their fields.

Our products are powered by nature, cruelty free and our packaging and products are eco friendly.

Browse my Web link below to see the fantastic products available and treatments on offer at our Luxury Spa. When you make a purchase be sure to sign up as a VIP customer to receive life long discount and exclusive offers only available to our VIP's.

I am so excited about our re-Iaunch and hope you enjoy the products as much as I do and I look forward to your reviews and helping anyone who wants to join the opportunity to achieve their dreams and goals. Please also add yourself to my beauty group on FB and give me one like.

Xx

Consultant ID: 99581

https://www.facebook.com/groups/291564652038781/

https://www.acti-labs.com/me/olalla-amboage

VIP Link 10% discount:

https://www.urban-retreat.com/me/olalla-amboage/vip-referral",,O. A.,2021-06-19T21:35:46.433Z,stjamess
post_17592200975220,Rowley's Restaurant,"Can you spot it?
#Rowley's has just been ranked amongst the 101 World best steak restaurant!!
https://www.instagram.com/p/CP_YviRFAwx/?utm_medium=share_sheet",,A. A.,2021-06-11T18:45:42.132Z,stjamess
post_17592200574509,Hi I am Moon.,"Nice to meet you :) 

Just wondered if there is anyone who got Covid Vaccination in St.Guys hospital! Would it be possible to share what you got if you are under 40's?

Thanks and good night!",,M. O.,2021-05-25T21:00:52.235Z,stjamess
